cve_id,published
CVE-1999-0328,1997-11-01T05:00:00.000
CVE-1999-0967,1997-11-01T05:00:00.000
CVE-1999-0306,1997-11-04T05:00:00.000
CVE-1999-0021,1997-11-05T05:00:00.000
CVE-1999-1069,1997-11-08T05:00:00.000
CVE-1999-1424,1997-11-10T05:00:00.000
CVE-1999-1425,1997-11-10T05:00:00.000
CVE-1999-1426,1997-11-10T05:00:00.000
CVE-1999-1427,1997-11-10T05:00:00.000
CVE-1999-1428,1997-11-10T05:00:00.000
CVE-1999-1210,1997-11-12T05:00:00.000
CVE-1999-1209,1997-11-20T05:00:00.000
CVE-1999-0210,1997-11-26T05:00:00.000
CVE-1999-1257,1997-11-26T05:00:00.000
CVE-1999-0016,1997-12-01T05:00:00.000
CVE-1999-0193,1997-12-01T05:00:00.000
CVE-1999-0244,1997-12-01T05:00:00.000
CVE-1999-0340,1997-12-01T05:00:00.000
CVE-1999-0018,1997-12-05T05:00:00.000
CVE-1999-0017,1997-12-10T05:00:00.000
CVE-1999-1140,1997-12-14T05:00:00.000
CVE-1999-0230,1997-12-15T05:00:00.000
CVE-1999-0004,1997-12-16T05:00:00.000
CVE-1999-0015,1997-12-16T05:00:00.000
CVE-1999-0104,1997-12-16T05:00:00.000
CVE-1999-1581,1997-12-23T05:00:00.000
CVE-1999-1230,1997-12-24T05:00:00.000
CVE-1999-1274,1997-12-29T05:00:00.000
CVE-1999-0107,1997-12-30T05:00:00.000
CVE-1999-0114,1998-01-01T05:00:00.000
CVE-1999-0239,1998-01-01T05:00:00.000
CVE-1999-0273,1998-01-01T05:00:00.000
CVE-1999-0279,1998-01-01T05:00:00.000
CVE-1999-0284,1998-01-01T05:00:00.000
CVE-1999-0293,1998-01-01T05:00:00.000
CVE-1999-0331,1998-01-01T05:00:00.000
CVE-1999-0341,1998-01-01T05:00:00.000
CVE-1999-1439,1998-01-02T05:00:00.000
CVE-1999-0513,1998-01-05T05:00:00.000
CVE-1999-1429,1998-01-05T05:00:00.000
CVE-1999-0086,1998-01-08T05:00:00.000
CVE-1999-1176,1998-01-10T05:00:00.000
CVE-1999-0958,1998-01-12T05:00:00.000
CVE-1999-0271,1998-01-15T05:00:00.000
CVE-1999-1045,1998-01-15T05:00:00.000
