ioc,ioc_type,malware,first_seen
lvegwzzz.karbordriyaziyat.xyz,domain,ClearFake,2026-06-15 02:33:21
lhpahogn.karafarini.shop,domain,ClearFake,2026-06-15 02:00:56
sdppicy4.shansline.com,domain,ClearFake,2026-06-15 01:52:23
qelljcx.megaparikade.com,domain,ClearFake,2026-06-15 01:47:53
bgfwrtgo.jam-jahani.com,domain,ClearFake,2026-06-15 01:32:09
q6ewl5b2.casinokade.online,domain,ClearFake,2026-06-15 00:58:55
obuultev.casinokade.online,domain,ClearFake,2026-06-15 00:57:02
twmpoxnh.hugugtejarat4.xyz,domain,ClearFake,2026-06-15 00:55:48
cwpjgrng.hugugtatbigi.xyz,domain,ClearFake,2026-06-15 00:22:40
l9oi6rwb.bordestan.com,domain,ClearFake,2026-06-15 00:10:25
wxlfp.motorbook.xyz,domain,ClearFake,2026-06-14 23:52:43
idcmamvr.hugugmadanikatouzian.xyz,domain,ClearFake,2026-06-14 23:50:46
8.152.2.86:8889,ip:port,Cobalt Strike,2026-06-14 23:46:04
124.222.218.12:18443,ip:port,Cobalt Strike,2026-06-14 23:45:41
1fjx0agf.zabanmemari.shop,domain,ClearFake,2026-06-14 23:34:29
ldbrrvwc.hugugmadani6.xyz,domain,ClearFake,2026-06-14 23:17:52
v33c66mq.zabanhaggani.shop,domain,ClearFake,2026-06-14 23:13:19
iyejvhz.shansbartar.bet,domain,ClearFake,2026-06-14 22:51:31
rfvxpytm.psgnewsiran.com,domain,ClearFake,2026-06-14 22:45:10
lgonmiq3.zabanenglishanari.xyz,domain,ClearFake,2026-06-14 22:36:48
yxjsqrqv.vanatarsim.xyz,domain,ClearFake,2026-06-14 22:36:47
7396cc3u.vajename.xyz,domain,ClearFake,2026-06-14 22:36:44
c1atwh88.shimiumumi.xyz,domain,ClearFake,2026-06-14 22:36:41
czcnj5n7.sazehayefooladi.xyz,domain,ClearFake,2026-06-14 22:36:36
pap6wvrz.shimiskoog.shop,domain,ClearFake,2026-06-14 22:36:36
4s9g9m9n.ravanshenasisaeedi.xyz,domain,ClearFake,2026-06-14 22:36:29
tem91muy.ravanshenasinovin.xyz,domain,ClearFake,2026-06-14 22:36:20
8e8q4tjz.ravanshenasiganji.xyz,domain,ClearFake,2026-06-14 22:36:18
4f769db571821779a629ec34253e268c3ad78208,sha1_hash,ValleyRAT,2026-06-14 22:30:18
36b013c5e39acbe752709d0b2fc01006,md5_hash,ValleyRAT,2026-06-14 22:30:18
d311b7b63d69bda94189e7ad586d42ba7f1ba838,sha1_hash,Gh0stnet,2026-06-14 22:30:17
81a6699618caa9d38a99aac19a33b770,md5_hash,Gh0stnet,2026-06-14 22:30:17
b48c97d1dadc4cb7e0c3303d556a1217cccdd8839fe739d71a7c5f977b4810bd,sha256_hash,ValleyRAT,2026-06-14 22:30:17
2b35aa9c70ef66197abfb9bc409952897f9f70818633ab43da85b3825b256307,sha256_hash,Azorult,2026-06-14 22:30:16
73da2c02c6f8bfd4662dc84820dcd983,md5_hash,Azorult,2026-06-14 22:30:16
3dc1a7ac46a1616fe180f42e26d25ea9638f90c73073542b49a8575e2f110174,sha256_hash,Gh0stnet,2026-06-14 22:30:16
c1d77b03a2d57f4ef9670a7569a77b662196cb10c74e303a04626afc49fcfb0d,sha256_hash,ValleyRAT,2026-06-14 22:30:15
1f61163784b16b391bff874349cf5fe115b2b01d,sha1_hash,ValleyRAT,2026-06-14 22:30:15
6382ad4c07f225406139f7ab90f2ccaf,md5_hash,ValleyRAT,2026-06-14 22:30:15
4dd2a916d6767a36f1b289339555b1993471952acf4f3ed4813644bf232a68f9,sha256_hash,Coinminer,2026-06-14 22:30:14
8d8cf767dfd250d81c6f0731458c68992cc0649e,sha1_hash,Coinminer,2026-06-14 22:30:14
ab02ca10ab74d9ba0bcaff7f62ac2f6e,md5_hash,Coinminer,2026-06-14 22:30:14
zywnzrqf.prozhedownload.com,domain,ClearFake,2026-06-14 22:17:29
igcokmdd.prozhecart.com,domain,ClearFake,2026-06-14 21:43:47
aasdaonz.mechanickhodakarami.shop,domain,ClearFake,2026-06-14 21:06:45
qj2ddn7c.zabanmemari.shop,domain,ClearFake,2026-06-14 20:56:49
irtefuln.masirpayambari.xyz,domain,ClearFake,2026-06-14 20:33:31
zxokl.mabaninazaridelavar.xyz,domain,ClearFake,2026-06-14 20:31:45
dtgncsqn.masirpayambari.xyz,domain,ClearFake,2026-06-14 20:30:07
https://avpungxx.com/,url,Vidar,2026-06-14 20:15:01
xtyqemyq.masaelmohandesi.xyz,domain,ClearFake,2026-06-14 19:57:41
qchwdca.rocketbet.pro,domain,ClearFake,2026-06-14 19:51:00
rne9p9if.shartbandikade.online,domain,ClearFake,2026-06-14 19:50:03
89.42.134.220:8808,ip:port,AsyncRAT,2026-06-14 19:45:30
83.229.85.74:8808,ip:port,AsyncRAT,2026-06-14 19:45:27
82.47.101.191:8848,ip:port,DCRat,2026-06-14 19:45:26
